"Year","ppt_fall","ppt_summer","ppt_winter","tmean_fall","tmean_summer","tmean_winter"
2004,105.829998016357,330.690000534058,64.7200002670288,13.3567508459091,15.2107503414154,2.13050012290478
2005,118.009998321533,104.179998397827,102.720000743866,12.2380005717278,15.7927503585815,1.98575010895729
2006,140.390004634857,219.820003509521,59.07000041008,13.7335003614426,17.1732506752014,1.01350009441376
2007,167.91999578476,271.360000610352,110.200002670288,12.0925005674362,15.2220007181168,0.57800005748868
2008,98.7499995231628,92.3899993896484,102.39999961853,14.2165009975433,15.1650006771088,-0.341999981552362
2009,138.93000459671,242.270000457764,77.6599998474121,13.3455007076263,15.1452504396439,1.95275008678436
2010,180.890005111694,137.680002212524,124.459998607635,11.8142503499985,15.9162504673004,-0.230499997735023
2011,85.2700009346008,120.639996528625,48.1100006103516,13.6962507963181,15.7627501487732,0.953500062227249
2012,173.440000534058,173.93999671936,45.4500000476837,13.5752507448196,17.4525008201599,1.99800008535385
2013,83.1699984073639,163.110006332397,53.7199995517731,13.4047504663467,15.0792510509491,0.392250008881092
2014,248.369999885559,234.230001449585,78.2999982833862,13.1542508602142,15.200001001358,0.481249988079071
2015,128.879999160767,426.71000289917,137.030004501343,12.9030002951622,15.3330008983612,2.0455000847578
2016,116.300001144409,247.020998001099,62.1800003051758,14.6862503290176,16.1690006256104,2.50200012326241
2017,117.787000656128,325.733991622925,60.414999961853,14.6460008621216,15.5090007781982,2.88675017934293
2018,203.689994335175,155.418996810913,38.4449987411499,13.4550009965897,17.0420002937317,1.98325005173683
2019,128.357000350952,241.089002609253,88.7709989547729,12.6300005316734,14.9375748634338,0.738500021398067
2020,120.600999832153,138.384002685547,71.7100005149841,13.0775996446609,16.159699678421,1.72947493195534
2021,67.4039993286133,255.812389373779,96.2893972396851,13.9419498443604,15.9707745313644,1.00949996337295
2022,103.334197998047,212.160296440125,82.7140984535217,15.2586245536804,16.4331498146057,1.96507497131824
